month,Quadrant,N
2023-01-01,HE-HC,45022
2023-02-01,HE-HC,41894
2023-03-01,HE-HC,48919
2023-04-01,HE-HC,41942
2023-05-01,HE-HC,44018
2023-06-01,HE-HC,44846
2023-07-01,HE-HC,39586
2023-08-01,HE-HC,41361
2023-09-01,HE-HC,41017
2023-10-01,HE-HC,38142
2023-11-01,HE-HC,41348
2023-12-01,HE-HC,32389
2024-01-01,HE-HC,41164
2024-02-01,HE-HC,39413
2024-03-01,HE-HC,39395
2024-04-01,HE-HC,38419
2024-05-01,HE-HC,42979
2024-06-01,HE-HC,40933
2024-07-01,HE-HC,39118
2020-01-01,HE-HC,35100
2020-02-01,HE-HC,29823
2020-03-01,HE-HC,24478
2020-04-01,HE-HC,15638
2020-05-01,HE-HC,20137
2020-06-01,HE-HC,26390
2020-07-01,HE-HC,28538
2020-08-01,HE-HC,27302
2020-09-01,HE-HC,29307
2020-10-01,HE-HC,28639
2020-11-01,HE-HC,28339
2020-12-01,HE-HC,25688
2021-01-01,HE-HC,29413
2021-02-01,HE-HC,29163
2021-03-01,HE-HC,34762
2021-04-01,HE-HC,32167
2021-05-01,HE-HC,34252
2021-06-01,HE-HC,39649
2021-07-01,HE-HC,37286
2021-08-01,HE-HC,35717
2021-09-01,HE-HC,35944
2021-10-01,HE-HC,40043
2021-11-01,HE-HC,40888
2021-12-01,HE-HC,35493
2022-01-01,HE-HC,43263
2022-02-01,HE-HC,42407
2022-03-01,HE-HC,48301
2022-04-01,HE-HC,51157
2022-05-01,HE-HC,53501
2022-06-01,HE-HC,56351
2022-07-01,HE-HC,48808
2022-08-01,HE-HC,46360
2022-09-01,HE-HC,44397
2022-10-01,HE-HC,44459
2022-11-01,HE-HC,44805
2022-12-01,HE-HC,37746
2018-01-01,HE-HC,38785
2018-02-01,HE-HC,34432
2018-03-01,HE-HC,39015
2018-04-01,HE-HC,38036
2018-05-01,HE-HC,39874
2018-06-01,HE-HC,39007
2018-07-01,HE-HC,38081
2018-08-01,HE-HC,38652
2018-09-01,HE-HC,36345
2018-10-01,HE-HC,38269
2018-11-01,HE-HC,37861
2018-12-01,HE-HC,32163
2019-01-01,HE-HC,43567
2019-02-01,HE-HC,38260
2019-03-01,HE-HC,42763
2019-04-01,HE-HC,38989
2019-05-01,HE-HC,43025
2019-06-01,HE-HC,39158
2019-07-01,HE-HC,42779
2019-08-01,HE-HC,42486
2019-09-01,HE-HC,36199
2019-10-01,HE-HC,45364
2019-11-01,HE-HC,39988
2019-12-01,HE-HC,27372
2023-01-01,HE-LC,64019
2023-02-01,HE-LC,57756
2023-03-01,HE-LC,66108
2023-04-01,HE-LC,56897
2023-05-01,HE-LC,59602
2023-06-01,HE-LC,58699
2023-07-01,HE-LC,55123
2023-08-01,HE-LC,60664
2023-09-01,HE-LC,58211
2023-10-01,HE-LC,52345
2023-11-01,HE-LC,55612
2023-12-01,HE-LC,41522
2024-01-01,HE-LC,53501
2024-02-01,HE-LC,49503
2024-03-01,HE-LC,50166
2024-04-01,HE-LC,48407
2024-05-01,HE-LC,53348
2024-06-01,HE-LC,51625
2024-07-01,HE-LC,51015
2020-01-01,HE-LC,53517
2020-02-01,HE-LC,46181
2020-03-01,HE-LC,37334
2020-04-01,HE-LC,21134
2020-05-01,HE-LC,28974
2020-06-01,HE-LC,39524
2020-07-01,HE-LC,43172
2020-08-01,HE-LC,42689
2020-09-01,HE-LC,45383
2020-10-01,HE-LC,45683
2020-11-01,HE-LC,42025
2020-12-01,HE-LC,35032
2021-01-01,HE-LC,42107
2021-02-01,HE-LC,43983
2021-03-01,HE-LC,55535
2021-04-01,HE-LC,47628
2021-05-01,HE-LC,50110
2021-06-01,HE-LC,61876
2021-07-01,HE-LC,59111
2021-08-01,HE-LC,57176
2021-09-01,HE-LC,58220
2021-10-01,HE-LC,64901
2021-11-01,HE-LC,62721
2021-12-01,HE-LC,51482
2022-01-01,HE-LC,63973
2022-02-01,HE-LC,64158
2022-03-01,HE-LC,76207
2022-04-01,HE-LC,79760
2022-05-01,HE-LC,81895
2022-06-01,HE-LC,82583
2022-07-01,HE-LC,73242
2022-08-01,HE-LC,71946
2022-09-01,HE-LC,68625
2022-10-01,HE-LC,66487
2022-11-01,HE-LC,66307
2022-12-01,HE-LC,51320
2018-01-01,HE-LC,56619
2018-02-01,HE-LC,52938
2018-03-01,HE-LC,60530
2018-04-01,HE-LC,60058
2018-05-01,HE-LC,61016
2018-06-01,HE-LC,58379
2018-07-01,HE-LC,60961
2018-08-01,HE-LC,64420
2018-09-01,HE-LC,60272
2018-10-01,HE-LC,63017
2018-11-01,HE-LC,58385
2018-12-01,HE-LC,44346
2019-01-01,HE-LC,62524
2019-02-01,HE-LC,57384
2019-03-01,HE-LC,63921
2019-04-01,HE-LC,60978
2019-05-01,HE-LC,63594
2019-06-01,HE-LC,55958
2019-07-01,HE-LC,63620
2019-08-01,HE-LC,66409
2019-09-01,HE-LC,58120
2019-10-01,HE-LC,68923
2019-11-01,HE-LC,61118
2019-12-01,HE-LC,40250
2023-01-01,LE,85606
2023-02-01,LE,80005
2023-03-01,LE,95122
2023-04-01,LE,83477
2023-05-01,LE,86402
2023-06-01,LE,81603
2023-07-01,LE,78963
2023-08-01,LE,87813
2023-09-01,LE,83414
2023-10-01,LE,74085
2023-11-01,LE,76795
2023-12-01,LE,59723
2024-01-01,LE,73089
2024-02-01,LE,69921
2024-03-01,LE,72138
2024-04-01,LE,72482
2024-05-01,LE,79903
2024-06-01,LE,75368
2024-07-01,LE,75562
2020-01-01,LE,55952
2020-02-01,LE,50906
2020-03-01,LE,49253
2020-04-01,LE,36924
2020-05-01,LE,50000
2020-06-01,LE,62745
2020-07-01,LE,67219
2020-08-01,LE,68156
2020-09-01,LE,67576
2020-10-01,LE,61325
2020-11-01,LE,57860
2020-12-01,LE,46915
2021-01-01,LE,54694
2021-02-01,LE,55092
2021-03-01,LE,72850
2021-04-01,LE,62363
2021-05-01,LE,67388
2021-06-01,LE,83459
2021-07-01,LE,80468
2021-08-01,LE,76452
2021-09-01,LE,73361
2021-10-01,LE,79358
2021-11-01,LE,78259
2021-12-01,LE,68389
2022-01-01,LE,75426
2022-02-01,LE,79817
2022-03-01,LE,96712
2022-04-01,LE,110738
2022-05-01,LE,111404
2022-06-01,LE,110817
2022-07-01,LE,98656
2022-08-01,LE,102003
2022-09-01,LE,92792
2022-10-01,LE,90027
2022-11-01,LE,86693
2022-12-01,LE,71301
2018-01-01,LE,56151
2018-02-01,LE,54627
2018-03-01,LE,61783
2018-04-01,LE,65830
2018-05-01,LE,70144
2018-06-01,LE,63567
2018-07-01,LE,63192
2018-08-01,LE,67816
2018-09-01,LE,62979
2018-10-01,LE,61198
2018-11-01,LE,59303
2018-12-01,LE,45533
2019-01-01,LE,62630
2019-02-01,LE,60261
2019-03-01,LE,71220
2019-04-01,LE,69235
2019-05-01,LE,75455
2019-06-01,LE,65234
2019-07-01,LE,67751
2019-08-01,LE,73340
2019-09-01,LE,61859
2019-10-01,LE,68052
2019-11-01,LE,60456
2019-12-01,LE,43328
