Quadrant,month,N,initial_count,index
HE-HC,2018-01-01,38785,38785,100
HE-HC,2018-02-01,34432,38785,88.77658888745648
HE-HC,2018-03-01,39015,38785,100.59301276266599
HE-HC,2018-04-01,38036,38785,98.06884104679644
HE-HC,2018-05-01,39874,38785,102.80778651540543
HE-HC,2018-06-01,39007,38785,100.57238623179063
HE-HC,2018-07-01,38081,38785,98.18486528297022
HE-HC,2018-08-01,38652,38785,99.6570839241975
HE-HC,2018-09-01,36345,38785,93.7089080830218
HE-HC,2018-10-01,38269,38785,98.66958875854067
HE-HC,2018-11-01,37861,38785,97.61763568389841
HE-HC,2018-12-01,32163,38785,82.92638906793863
HE-HC,2019-01-01,43567,38785,112.32950883073354
HE-HC,2019-02-01,38260,38785,98.64638391130592
HE-HC,2019-03-01,42763,38785,110.25654247776203
HE-HC,2019-04-01,38989,38785,100.52597653732114
HE-HC,2019-05-01,43025,38785,110.93206136392935
HE-HC,2019-06-01,39158,38785,100.96171200206265
HE-HC,2019-07-01,42779,38785,110.29779553951269
HE-HC,2019-08-01,42486,38785,109.54234884620342
HE-HC,2019-09-01,36199,38785,93.33247389454687
HE-HC,2019-10-01,45364,38785,116.96274332860641
HE-HC,2019-11-01,39988,38785,103.10171458037902
HE-HC,2019-12-01,27372,38785,70.57367538997035
HE-HC,2020-01-01,35100,38785,90.49890421554724
HE-HC,2020-02-01,29823,38785,76.89312878690215
HE-HC,2020-03-01,24478,38785,63.112027845816684
HE-HC,2020-04-01,15638,38785,40.31971122856775
HE-HC,2020-05-01,20137,38785,51.919556529586174
HE-HC,2020-06-01,26390,38785,68.04176872502255
HE-HC,2020-07-01,28538,38785,73.57999226505092
HE-HC,2020-08-01,27302,38785,70.39319324481113
HE-HC,2020-09-01,29307,38785,75.56271754544282
HE-HC,2020-10-01,28639,38785,73.84040221735206
HE-HC,2020-11-01,28339,38785,73.06690730952687
HE-HC,2020-12-01,25688,38785,66.23179064071162
HE-HC,2021-01-01,29413,38785,75.83601907954106
HE-HC,2021-02-01,29163,38785,75.19143998968674
HE-HC,2021-03-01,34762,38785,89.62743328606419
HE-HC,2021-04-01,32167,38785,82.9367023333763
HE-HC,2021-05-01,34252,38785,88.31249194276137
HE-HC,2021-06-01,39649,38785,102.22766533453655
HE-HC,2021-07-01,37286,38785,96.13510377723347
HE-HC,2021-08-01,35717,38785,92.08972540930772
HE-HC,2021-09-01,35944,38785,92.67500322289544
HE-HC,2021-10-01,40043,38785,103.24352198014697
HE-HC,2021-11-01,40888,38785,105.4221993038546
HE-HC,2021-12-01,35493,38785,91.51218254479825
HE-HC,2022-01-01,43263,38785,111.54570065747068
HE-HC,2022-02-01,42407,38785,109.33866185380947
HE-HC,2022-03-01,48301,38785,124.53525847621503
HE-HC,2022-04-01,51157,38785,131.89892999871086
HE-HC,2022-05-01,53501,38785,137.942503545185
HE-HC,2022-06-01,56351,38785,145.2907051695243
HE-HC,2022-07-01,48808,38785,125.8424648704396
HE-HC,2022-08-01,46360,38785,119.53074642258605
HE-HC,2022-09-01,44397,38785,114.46951140904989
HE-HC,2022-10-01,44459,38785,114.62936702333377
HE-HC,2022-11-01,44805,38785,115.52146448369216
HE-HC,2022-12-01,37746,38785,97.32112930256542
HE-HC,2023-01-01,45022,38785,116.0809591336857
HE-HC,2023-02-01,41894,38785,108.0159855614284
HE-HC,2023-03-01,48919,38785,126.12865798633493
HE-HC,2023-04-01,41942,38785,108.13974474668042
HE-HC,2023-05-01,44018,38785,113.49232950883072
HE-HC,2023-06-01,44846,38785,115.62717545442827
HE-HC,2023-07-01,39586,38785,102.06523140389325
HE-HC,2023-08-01,41361,38785,106.64174294185898
HE-HC,2023-09-01,41017,38785,105.75480211421942
HE-HC,2023-10-01,38142,38785,98.34214258089467
HE-HC,2023-11-01,41348,38785,106.60822482918655
HE-HC,2023-12-01,32389,38785,83.50908856516695
HE-HC,2024-01-01,41164,38785,106.13381461905375
HE-HC,2024-02-01,39413,38785,101.61918267371406
HE-HC,2024-03-01,39395,38785,101.57277297924456
HE-HC,2024-04-01,38419,38785,99.05633621245326
HE-HC,2024-05-01,42979,38785,110.81345881139615
HE-HC,2024-06-01,40933,38785,105.53822354002835
HE-HC,2024-07-01,39118,38785,100.85857934768596
HE-LC,2018-01-01,56619,56619,100
HE-LC,2018-02-01,52938,56619,93.49864886345574
HE-LC,2018-03-01,60530,56619,106.90757519560572
HE-LC,2018-04-01,60058,56619,106.0739327787492
HE-LC,2018-05-01,61016,56619,107.76594429431816
HE-LC,2018-06-01,58379,56619,103.10849714760062
HE-LC,2018-07-01,60961,56619,107.66880375845564
HE-LC,2018-08-01,64420,56619,113.77806036842757
HE-LC,2018-09-01,60272,56619,106.45189777283244
HE-LC,2018-10-01,63017,56619,111.30009360815274
HE-LC,2018-11-01,58385,56619,103.11909429696743
HE-LC,2018-12-01,44346,56619,78.32353097016902
HE-LC,2019-01-01,62524,56619,110.42936116851234
HE-LC,2019-02-01,57384,56619,101.3511365442696
HE-LC,2019-03-01,63921,56619,112.89673077942032
HE-LC,2019-04-01,60978,56619,107.69882901499497
HE-LC,2019-05-01,63594,56619,112.31918613892861
HE-LC,2019-06-01,55958,56619,98.83254737808863
HE-LC,2019-07-01,63620,56619,112.3651071195182
HE-LC,2019-08-01,66409,56619,117.2910153835285
HE-LC,2019-09-01,58120,56619,102.65105353326622
HE-LC,2019-10-01,68923,56619,121.73122096822621
HE-LC,2019-11-01,61118,56619,107.9460958335541
HE-LC,2019-12-01,40250,56619,71.08921033575302
HE-LC,2020-01-01,53517,56619,94.52127377735388
HE-LC,2020-02-01,46181,56619,81.56449248485491
HE-LC,2020-03-01,37334,56619,65.93899574347833
HE-LC,2020-04-01,21134,56619,37.32669245306346
HE-LC,2020-05-01,28974,56619,51.17363429237535
HE-LC,2020-06-01,39524,56619,69.80695526236775
HE-LC,2020-07-01,43172,56619,76.25002207739452
HE-LC,2020-08-01,42689,56619,75.39695155336548
HE-LC,2020-09-01,45383,56619,80.15507161906781
HE-LC,2020-10-01,45683,56619,80.68492908740882
HE-LC,2020-11-01,42025,56619,74.2242003567707
HE-LC,2020-12-01,35032,56619,61.87322276974161
HE-LC,2021-01-01,42107,56619,74.3690280647839
HE-LC,2021-02-01,43983,56619,77.6824034334764
HE-LC,2021-03-01,55535,56619,98.0854483477278
HE-LC,2021-04-01,47628,56619,84.12017167381974
HE-LC,2021-05-01,50110,56619,88.50385912856107
HE-LC,2021-06-01,61876,56619,109.28486903689574
HE-LC,2021-07-01,59111,56619,104.4013493703527
HE-LC,2021-08-01,57176,56619,100.98376869955314
HE-LC,2021-09-01,58220,56619,102.8276726893799
HE-LC,2021-10-01,64901,56619,114.62759850933433
HE-LC,2021-11-01,62721,56619,110.77730090605627
HE-LC,2021-12-01,51482,56619,90.92707395044066
HE-LC,2022-01-01,63973,56619,112.98857274059944
HE-LC,2022-02-01,64158,56619,113.31531817940974
HE-LC,2022-03-01,76207,56619,134.59616029954609
HE-LC,2022-04-01,79760,56619,140.87143891626485
HE-LC,2022-05-01,81895,56619,144.64225789929174
HE-LC,2022-06-01,82583,56619,145.85739769335382
HE-LC,2022-07-01,73242,56619,129.35940232077573
HE-LC,2022-08-01,71946,56619,127.07041805754251
HE-LC,2022-09-01,68625,56619,121.20489588300747
HE-LC,2022-10-01,66487,56619,117.42877832529717
HE-LC,2022-11-01,66307,56619,117.11086384429254
HE-LC,2022-12-01,51320,56619,90.64095091753651
HE-LC,2023-01-01,64019,56619,113.06981755241175
HE-LC,2023-02-01,57756,56619,102.00815980501245
HE-LC,2023-03-01,66108,56619,116.75939172362635
HE-LC,2023-04-01,56897,56619,100.49100125399602
HE-LC,2023-05-01,59602,56619,105.26854942687083
HE-LC,2023-06-01,58699,56619,103.67367844716438
HE-LC,2023-07-01,55123,56619,97.35777742453946
HE-LC,2023-08-01,60664,56619,107.14424486479803
HE-LC,2023-09-01,58211,56619,102.81177696532966
HE-LC,2023-10-01,52345,56619,92.45129726770166
HE-LC,2023-11-01,55612,56619,98.22144509793532
HE-LC,2023-12-01,41522,56619,73.33580600151892
HE-LC,2024-01-01,53501,56619,94.4930147123757
HE-LC,2024-02-01,49503,56619,87.43178085095109
HE-LC,2024-03-01,50166,56619,88.60276585598474
HE-LC,2024-04-01,48407,56619,85.49603489994524
HE-LC,2024-05-01,53348,56619,94.22278740352179
HE-LC,2024-06-01,51625,56619,91.17963934368322
HE-LC,2024-07-01,51015,56619,90.10226249138982
LE,2018-01-01,56151,56151,100
LE,2018-02-01,54627,56151,97.28588983277234
LE,2018-03-01,61783,56151,110.03009741589642
LE,2018-04-01,65830,56151,117.23744902138876
LE,2018-05-01,70144,56151,124.9203041798009
LE,2018-06-01,63567,56151,113.20724475076133
LE,2018-07-01,63192,56151,112.53940268205376
LE,2018-08-01,67816,56151,120.77434061726416
LE,2018-09-01,62979,56151,112.16006838702783
LE,2018-10-01,61198,56151,108.98826378871259
LE,2018-11-01,59303,56151,105.61343520151021
LE,2018-12-01,45533,56151,81.09027443856743
LE,2019-01-01,62630,56151,111.53853003508397
LE,2019-02-01,60261,56151,107.3195490730352
LE,2019-03-01,71220,56151,126.83656568894588
LE,2019-04-01,69235,56151,123.30145500525369
LE,2019-05-01,75455,56151,134.3787287848836
LE,2019-06-01,65234,56151,116.1760253601895
LE,2019-07-01,67751,56151,120.65858132535485
LE,2019-08-01,73340,56151,130.6120995173728
LE,2019-09-01,61859,56151,110.16544674182116
LE,2019-10-01,68052,56151,121.19463589250414
LE,2019-11-01,60456,56151,107.66682694876314
LE,2019-12-01,43328,56151,77.16336307456679
