Quadrant,education,month,N,initial_count,index,xy
HE-HC,PSE,2018-01-01,35071,35071,100,HE-HC PSE
HE-HC,PSE,2018-02-01,31761,35071,90.56200279433149,HE-HC PSE
HE-HC,PSE,2018-03-01,35759,35071,101.9617347666163,HE-HC PSE
HE-HC,PSE,2018-04-01,34992,35071,99.77474266487981,HE-HC PSE
HE-HC,PSE,2018-05-01,37196,35071,106.05913717886573,HE-HC PSE
HE-HC,PSE,2018-06-01,36429,35071,103.87214507712925,HE-HC PSE
HE-HC,PSE,2018-07-01,35495,35071,101.20897607710073,HE-HC PSE
HE-HC,PSE,2018-08-01,36148,35071,103.07091329018276,HE-HC PSE
HE-HC,PSE,2018-09-01,33834,35071,96.47286932223204,HE-HC PSE
HE-HC,PSE,2018-10-01,35683,35071,101.74503150751333,HE-HC PSE
HE-HC,PSE,2018-11-01,35287,35071,100.61589347324,HE-HC PSE
HE-HC,PSE,2018-12-01,30139,35071,85.93709902768668,HE-HC PSE
HE-HC,PSE,2019-01-01,39729,35071,113.28162869607368,HE-HC PSE
HE-HC,PSE,2019-02-01,35861,35071,102.25257335120186,HE-HC PSE
HE-HC,PSE,2019-03-01,39908,35071,113.7920218984346,HE-HC PSE
HE-HC,PSE,2019-04-01,36230,35071,103.30472470132017,HE-HC PSE
HE-HC,PSE,2019-05-01,40317,35071,114.95822759544923,HE-HC PSE
HE-HC,PSE,2019-06-01,36595,35071,104.34547061674888,HE-HC PSE
HE-HC,PSE,2019-07-01,40196,35071,114.61321319608793,HE-HC PSE
HE-HC,PSE,2019-08-01,39764,35071,113.38142624960794,HE-HC PSE
HE-HC,PSE,2019-09-01,34018,35071,96.99751931795501,HE-HC PSE
HE-HC,PSE,2019-10-01,42774,35071,121.9640158535542,HE-HC PSE
HE-HC,PSE,2019-11-01,37631,35071,107.29947820136294,HE-HC PSE
HE-HC,PSE,2019-12-01,25669,35071,73.1915257620256,HE-HC PSE
HE-HC,PSE,2020-01-01,32594,35071,92.93718456844687,HE-HC PSE
HE-HC,PSE,2020-02-01,27749,35071,79.12235180063301,HE-HC PSE
HE-HC,PSE,2020-03-01,22704,35071,64.73724729833765,HE-HC PSE
HE-HC,PSE,2020-04-01,14881,35071,42.43106840409455,HE-HC PSE
HE-HC,PSE,2020-05-01,18857,35071,53.768070485586385,HE-HC PSE
HE-HC,PSE,2020-06-01,24508,35071,69.88109834336062,HE-HC PSE
HE-HC,PSE,2020-07-01,26594,35071,75.82903253400245,HE-HC PSE
HE-HC,PSE,2020-08-01,25506,35071,72.7267542984232,HE-HC PSE
HE-HC,PSE,2020-09-01,27334,35071,77.93903795158393,HE-HC PSE
HE-HC,PSE,2020-10-01,26900,35071,76.70154828775911,HE-HC PSE
HE-HC,PSE,2020-11-01,26679,35071,76.07139802115708,HE-HC PSE
HE-HC,PSE,2020-12-01,24274,35071,69.21388041401728,HE-HC PSE
HE-HC,PSE,2021-01-01,27583,35071,78.64902626101338,HE-HC PSE
HE-HC,PSE,2021-02-01,27247,35071,77.69096974708448,HE-HC PSE
HE-HC,PSE,2021-03-01,32391,35071,92.35835875794817,HE-HC PSE
HE-HC,PSE,2021-04-01,30179,35071,86.051153374583,HE-HC PSE
