month,STC_Quadrant,N
2023-01-01,HE-HC,38954
2023-02-01,HE-HC,36196
2023-03-01,HE-HC,42367
2023-04-01,HE-HC,36386
2023-05-01,HE-HC,38416
2023-06-01,HE-HC,39548
2023-07-01,HE-HC,34180
2023-08-01,HE-HC,36178
2023-09-01,HE-HC,35377
2023-10-01,HE-HC,32902
2023-11-01,HE-HC,35106
2023-12-01,HE-HC,28186
2024-01-01,HE-HC,35397
2024-02-01,HE-HC,33987
2024-03-01,HE-HC,34109
2024-04-01,HE-HC,32847
2024-05-01,HE-HC,36987
2024-06-01,HE-HC,35441
2024-07-01,HE-HC,33611
2020-01-01,HE-HC,29824
2020-02-01,HE-HC,25335
2020-03-01,HE-HC,20426
2020-04-01,HE-HC,13494
2020-05-01,HE-HC,17267
2020-06-01,HE-HC,22343
2020-07-01,HE-HC,24455
2020-08-01,HE-HC,23359
2020-09-01,HE-HC,24909
2020-10-01,HE-HC,24348
2020-11-01,HE-HC,23983
2020-12-01,HE-HC,22238
2021-01-01,HE-HC,24959
2021-02-01,HE-HC,25321
2021-03-01,HE-HC,30106
2021-04-01,HE-HC,27792
2021-05-01,HE-HC,29901
2021-06-01,HE-HC,34429
2021-07-01,HE-HC,31923
2021-08-01,HE-HC,30577
2021-09-01,HE-HC,30895
2021-10-01,HE-HC,34805
2021-11-01,HE-HC,35346
2021-12-01,HE-HC,30835
2022-01-01,HE-HC,36841
2022-02-01,HE-HC,36830
2022-03-01,HE-HC,41884
2022-04-01,HE-HC,43413
2022-05-01,HE-HC,45472
2022-06-01,HE-HC,48386
2022-07-01,HE-HC,41646
2022-08-01,HE-HC,39723
2022-09-01,HE-HC,38337
2022-10-01,HE-HC,38349
2022-11-01,HE-HC,38524
2022-12-01,HE-HC,32666
2018-01-01,HE-HC,32288
2018-02-01,HE-HC,29407
2018-03-01,HE-HC,33219
2018-04-01,HE-HC,32352
2018-05-01,HE-HC,34477
2018-06-01,HE-HC,33553
2018-07-01,HE-HC,32779
2018-08-01,HE-HC,33128
2018-09-01,HE-HC,30930
2018-10-01,HE-HC,32599
2018-11-01,HE-HC,31984
2018-12-01,HE-HC,27482
2019-01-01,HE-HC,36232
2019-02-01,HE-HC,33278
2019-03-01,HE-HC,36692
2019-04-01,HE-HC,33378
2019-05-01,HE-HC,36700
2019-06-01,HE-HC,33512
2019-07-01,HE-HC,37010
2019-08-01,HE-HC,36494
2019-09-01,HE-HC,30943
2019-10-01,HE-HC,38955
2019-11-01,HE-HC,33985
2019-12-01,HE-HC,23397
2023-01-01,HE-LC,58417
2023-02-01,HE-LC,52531
2023-03-01,HE-LC,60402
2023-04-01,HE-LC,51771
2023-05-01,HE-LC,54188
2023-06-01,HE-LC,53032
2023-07-01,HE-LC,50364
2023-08-01,HE-LC,55517
2023-09-01,HE-LC,53186
2023-10-01,HE-LC,47472
2023-11-01,HE-LC,50824
2023-12-01,HE-LC,37421
2024-01-01,HE-LC,48210
2024-02-01,HE-LC,44879
2024-03-01,HE-LC,45246
2024-04-01,HE-LC,44381
2024-05-01,HE-LC,48313
2024-06-01,HE-LC,46807
2024-07-01,HE-LC,46587
2020-01-01,HE-LC,47159
2020-02-01,HE-LC,40819
2020-03-01,HE-LC,33272
2020-04-01,HE-LC,19176
2020-05-01,HE-LC,26196
2020-06-01,HE-LC,36266
2020-07-01,HE-LC,39303
2020-08-01,HE-LC,39270
2020-09-01,HE-LC,41496
2020-10-01,HE-LC,41470
2020-11-01,HE-LC,38217
2020-12-01,HE-LC,31296
2021-01-01,HE-LC,37514
2021-02-01,HE-LC,39271
2021-03-01,HE-LC,49950
2021-04-01,HE-LC,42967
2021-05-01,HE-LC,44930
2021-06-01,HE-LC,56136
2021-07-01,HE-LC,53595
2021-08-01,HE-LC,52085
2021-09-01,HE-LC,52981
2021-10-01,HE-LC,59052
2021-11-01,HE-LC,56976
2021-12-01,HE-LC,46388
2022-01-01,HE-LC,57833
2022-02-01,HE-LC,57969
2022-03-01,HE-LC,69370
2022-04-01,HE-LC,73103
2022-05-01,HE-LC,75223
2022-06-01,HE-LC,75638
2022-07-01,HE-LC,67143
2022-08-01,HE-LC,66395
2022-09-01,HE-LC,63424
2022-10-01,HE-LC,61453
2022-11-01,HE-LC,60985
2022-12-01,HE-LC,46980
2018-01-01,HE-LC,49384
2018-02-01,HE-LC,45319
2018-03-01,HE-LC,52084
2018-04-01,HE-LC,53039
2018-05-01,HE-LC,53611
2018-06-01,HE-LC,51329
2018-07-01,HE-LC,53708
2018-08-01,HE-LC,56815
2018-09-01,HE-LC,53787
2018-10-01,HE-LC,55523
2018-11-01,HE-LC,51528
2018-12-01,HE-LC,38503
2019-01-01,HE-LC,54697
2019-02-01,HE-LC,49621
2019-03-01,HE-LC,55545
2019-04-01,HE-LC,53238
2019-05-01,HE-LC,55349
2019-06-01,HE-LC,48624
2019-07-01,HE-LC,54926
2019-08-01,HE-LC,58409
2019-09-01,HE-LC,50687
2019-10-01,HE-LC,60322
2019-11-01,HE-LC,53307
2019-12-01,HE-LC,34622
2023-01-01,LE,78001
2023-02-01,LE,72975
2023-03-01,LE,87230
2023-04-01,LE,76755
2023-05-01,LE,79750
