STC_Quadrant,month,N,initial_count,index
HE-HC,2018-01-01,32288,32288,100
HE-HC,2018-02-01,29407,32288,91.0771803766105
HE-HC,2018-03-01,33219,32288,102.88342418235877
HE-HC,2018-04-01,32352,32288,100.1982160555005
HE-HC,2018-05-01,34477,32288,106.77960852329038
HE-HC,2018-06-01,33553,32288,103.91786422200198
HE-HC,2018-07-01,32779,32288,101.52068880079285
HE-HC,2018-08-01,33128,32288,102.60158572844401
HE-HC,2018-09-01,30930,32288,95.79410307234886
HE-HC,2018-10-01,32599,32288,100.96320614469772
HE-HC,2018-11-01,31984,32288,99.05847373637265
HE-HC,2018-12-01,27482,32288,85.11521308225967
HE-HC,2019-01-01,36232,32288,112.21506442021804
HE-HC,2019-02-01,33278,32288,103.06615460852329
HE-HC,2019-03-01,36692,32288,113.63974231912786
HE-HC,2019-04-01,33378,32288,103.3758671952428
HE-HC,2019-05-01,36700,32288,113.6645193260654
HE-HC,2019-06-01,33512,32288,103.79088206144698
HE-HC,2019-07-01,37010,32288,114.62462834489592
HE-HC,2019-08-01,36494,32288,113.02651139742319
HE-HC,2019-09-01,30943,32288,95.8343657086224
HE-HC,2019-10-01,38955,32288,120.64853815659069
HE-HC,2019-11-01,33985,32288,105.25582259663034
HE-HC,2019-12-01,23397,32288,72.4634539147671
HE-HC,2020-01-01,29824,32288,92.36868186323092
HE-HC,2020-02-01,25335,32288,78.46568384539148
HE-HC,2020-03-01,20426,32288,63.26189296333003
HE-HC,2020-04-01,13494,32288,41.79261645193261
HE-HC,2020-05-01,17267,32288,53.47807234886026
HE-HC,2020-06-01,22343,32288,69.19908325074331
HE-HC,2020-07-01,24455,32288,75.74021308225967
HE-HC,2020-08-01,23359,32288,72.34576313181368
HE-HC,2020-09-01,24909,32288,77.1463082259663
HE-HC,2020-10-01,24348,32288,75.40882061446978
HE-HC,2020-11-01,23983,32288,74.27836967294351
HE-HC,2020-12-01,22238,32288,68.87388503468782
HE-HC,2021-01-01,24959,32288,77.30116451932606
HE-HC,2021-02-01,25321,32288,78.42232408325074
HE-HC,2021-03-01,30106,32288,93.24207135777998
HE-HC,2021-04-01,27792,32288,86.0753221010902
HE-HC,2021-05-01,29901,32288,92.60716055500495
HE-HC,2021-06-01,34429,32288,106.63094648166502
HE-HC,2021-07-01,31923,32288,98.86954905847374
HE-HC,2021-08-01,30577,32288,94.70081764122894
HE-HC,2021-09-01,30895,32288,95.68570366699703
HE-HC,2021-10-01,34805,32288,107.79546580773042
HE-HC,2021-11-01,35346,32288,109.47101090188305
HE-HC,2021-12-01,30835,32288,95.4998761149653
HE-HC,2022-01-01,36841,32288,114.10121407333995
HE-HC,2022-02-01,36830,32288,114.06714568880079
HE-HC,2022-03-01,41884,32288,129.72001982160555
HE-HC,2022-04-01,43413,32288,134.45552527254708
HE-HC,2022-05-01,45472,32288,140.83250743310208
HE-HC,2022-06-01,48386,32288,149.857532210109
HE-HC,2022-07-01,41646,32288,128.98290386521307
HE-HC,2022-08-01,39723,32288,123.02713082259662
HE-HC,2022-09-01,38337,32288,118.73451437066403
HE-HC,2022-10-01,38349,32288,118.77167988107036
HE-HC,2022-11-01,38524,32288,119.31367690782952
HE-HC,2022-12-01,32666,32288,101.1707135777998
